file,policy,workloads,num_cores,cpu0_ipc,cpu1_ipc,cpu2_ipc,cpu3_ipc,weighted_speedup,harmonic_speedup,max_sim_cycles,total_pf_requested,total_pf_issued,total_pf_useful,pf_accuracy,dram_avg_dbus,rq_row_buffer_hit,rq_row_buffer_miss,row_hit_rate,total_llc_miss,coord_mini_epochs,coord_streaming_mini_epochs,coord_selected_boost_windows,coord_phase_owner_windows,coord_dynrunway_keep3_windows,coord_dynrunway_midwide_windows,coord_last_window_miss_latency_delta,bucket_issued_head,bucket_issued_mid,bucket_issued_tail,bucket_fill_head,bucket_fill_mid,bucket_fill_tail,bucket_useful_head,bucket_useful_mid,bucket_useful_tail,bucket_useless_head,bucket_useless_mid,bucket_useless_tail,timely_fill_age0,timely_fill_age1,timely_fill_age2,timely_fill_age3,timely_useful_age0,timely_useful_age1,timely_useful_age2,timely_useful_age3,timely_useless_age0,timely_useless_age1,timely_useless_age2,timely_useless_age3,controller_final
orig_mcf_lbm_1M3M.txt,orig,mcf+lbm,2,0.03606,0.8489,,,1.3315735630665353,0.5263236814057956,83196485,6446751,4500431,211823,0.04706726977927225,7.32,164723,2081635,0.07332891729635259,3564378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
gsp_headgate_dynboost_4xlbm_1M3M.txt,gsp_headgate_dynboost,lbm+lbm+lbm+lbm,4,0.2313,0.2278,0.2321,0.2299,1.0530467588887618,0.2632484303404853,13171015,1250785,854470,53269,0.06234156845764041,4.442,16798,335696,0.0476547118532514,682223,920,888,242,0,0,0,1396411,191840,191069,1250164,29357,6012,5323,0,0,0,6,0,0,40692,0,0,0,0,0,0,0,0,0,3,3,[BWC_GSP_HEADGATE_DYNBOOST] cpu=3 Final level=3 pf_threshold=10 fill_threshold=75 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=0 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.433766 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0282188 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=3 epochs=58 avg_epoch_mshr_util=0.337497 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00539552 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=3 enabled_epochs=55 filtered_prefetches=0 useful_updates=21141 useless_updates=1 | [HEADGATE] cpu=3 keep_candidates=3 mid_max_candidates=6 streaming_epochs=55 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=3 mini_epochs=230 streaming_mini_epochs=218 selected_boost_windows=57 phase_owner_windows=0 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=1 last_window_miss_latency_delta=116882 | [BWC_BUCKETS] cpu=3 issued_head=48325 issued_mid=47311 issued_tail=311476 fill_head=7314 fill_mid=1407 fill_tail=1223 useful_head=0 useful_mid=0 useful_tail=0 useless_head=1 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=3 fill_age0=9944 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=1 useless_age3=0 | [BWC_GSP_HEADGATE_DYNBOOST] cpu=2 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=43 symmetric_tier1_epochs=0 symmetric_tier2_epochs=43 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.436281 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0282344 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=2 epochs=58 avg_epoch_mshr_util=0.33816 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00467988 max_epoch_llc_rq_util=0.21875 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=2 enabled_epochs=56 filtered_prefetches=0 useful_updates=22074 useless_updates=1 | [HEADGATE] cpu=2 keep_candidates=2 mid_max_candidates=4 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=2 mini_epochs=231 streaming_mini_epochs=223 selected_boost_windows=79 phase_owner_windows=0 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=2 last_window_miss_latency_delta=534876 | [BWC_BUCKETS] cpu=2 issued_head=46078 issued_mid=49669 issued_tail=316242 fill_head=7546 fill_mid=1939 fill_tail=1502 useful_head=0 useful_mid=0 useful_tail=0 useless_head=1 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=2 fill_age0=10987 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=1 | [BWC_GSP_HEADGATE_DYNBOOST] cpu=1 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=1 symmetric_tier2_epochs=41 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.436656 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0280208 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=1 epochs=57 avg_epoch_mshr_util=0.334371 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00489377 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=1 enabled_epochs=56 filtered_prefetches=0 useful_updates=21117 useless_updates=2 | [HEADGATE] cpu=1 keep_candidates=2 mid_max_candidates=4 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=1 mini_epochs=228 streaming_mini_epochs=224 selected_boost_windows=59 phase_owner_windows=0 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=2 last_window_miss_latency_delta=484047 | [BWC_BUCKETS] cpu=1 issued_head=47731 issued_mid=47358 issued_tail=303194 fill_head=7174 fill_mid=1476 fill_tail=1371 useful_head=0 useful_mid=0 useful_tail=0 useless_head=2 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=1 fill_age0=10021 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=2 useless_age3=0 | [BWC_GSP_HEADGATE_DYNBOOST] cpu=0 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=0 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.437391 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0277969 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=0 epochs=58 avg_epoch_mshr_util=0.337594 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00518833 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=0 enabled_epochs=56 filtered_prefetches=0 useful_updates=21031 useless_updates=2 | [HEADGATE] cpu=0 keep_candidates=2 mid_max_candidates=4 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=0 mini_epochs=231 streaming_mini_epochs=223 selected_boost_windows=47 phase_owner_windows=0 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=2 last_window_miss_latency_delta=260606 | [BWC_BUCKETS] cpu=0 issued_head=49706 issued_mid=46731 issued_tail=319252 fill_head=7323 fill_mid=1190 fill_tail=1227 useful_head=0 useful_mid=0 useful_tail=0 useless_head=2 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=0 fill_age0=9740 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=2
gsp_headgate_dynboost_phase_4xlbm_1M3M.txt,gsp_headgate_dynboost_phase,lbm+lbm+lbm+lbm,4,0.2308,0.2308,0.23,0.2287,1.0521321595975763,0.2630293683774865,13117075,1284356,846376,58204,0.06876849059992249,4.417,16821,333904,0.04796065293320978,680964,915,887,235,231,0,0,2572507,173622,188604,1310967,31890,8815,6448,0,0,0,5,0,0,47153,0,0,0,0,0,0,0,0,0,1,4,[BWC_GSP_HEADGATE_DYNBOOST_PHASE] cpu=3 Final level=3 pf_threshold=10 fill_threshold=75 issue_period=1 symmetric_mode_epochs=41 symmetric_tier1_epochs=0 symmetric_tier2_epochs=41 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.437453 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0282188 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=3 epochs=57 avg_epoch_mshr_util=0.337557 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00508542 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=3 enabled_epochs=54 filtered_prefetches=0 useful_updates=22199 useless_updates=1 | [HEADGATE] cpu=3 keep_candidates=3 mid_max_candidates=6 streaming_epochs=54 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=3 mini_epochs=228 streaming_mini_epochs=216 selected_boost_windows=56 phase_owner_windows=58 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=3 last_window_miss_latency_delta=481438 | [BWC_BUCKETS] cpu=3 issued_head=43726 issued_mid=46504 issued_tail=326632 fill_head=7860 fill_mid=2119 fill_tail=1602 useful_head=0 useful_mid=0 useful_tail=0 useless_head=1 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=3 fill_age0=11581 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=1 useless_age3=0 | [BWC_GSP_HEADGATE_DYNBOOST_PHASE] cpu=2 Final level=3 pf_threshold=10 fill_threshold=75 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=0 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.436188 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0282344 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=2 epochs=58 avg_epoch_mshr_util=0.340237 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.00489925 max_epoch_llc_rq_util=0.21875 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=2 enabled_epochs=56 filtered_prefetches=0 useful_updates=22568 useless_updates=2 | [HEADGATE] cpu=2 keep_candidates=3 mid_max_candidates=6 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=2 mini_epochs=229 streaming_mini_epochs=221 selected_boost_windows=61 phase_owner_windows=56 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=2 last_phase_core=0 last_window_miss_latency_delta=211110 | [BWC_BUCKETS] cpu=2 issued_head=43067 issued_mid=47017 issued_tail=324589 fill_head=7990 fill_mid=2330 fill_tail=1578 useful_head=0 useful_mid=0 useful_tail=0 useless_head=2 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=2 fill_age0=11898 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=2 | [BWC_GSP_HEADGATE_DYNBOOST_PHASE] cpu=1 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=43 symmetric_tier1_epochs=0 symmetric_tier2_epochs=43 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.436875 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0280208 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=1 epochs=58 avg_epoch_mshr_util=0.340331 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.0052069 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=1 enabled_epochs=57 filtered_prefetches=0 useful_updates=22497 useless_updates=0 | [HEADGATE] cpu=1 keep_candidates=2 mid_max_candidates=4 streaming_epochs=57 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=1 mini_epochs=229 streaming_mini_epochs=225 selected_boost_windows=57 phase_owner_windows=57 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=2 last_phase_core=0 last_window_miss_latency_delta=912272 | [BWC_BUCKETS] cpu=1 issued_head=44041 issued_mid=47458 issued_tail=327361 fill_head=7990 fill_mid=2081 fill_tail=1603 useful_head=0 useful_mid=0 useful_tail=0 useless_head=0 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=1 fill_age0=11674 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=0 | [BWC_GSP_HEADGATE_DYNBOOST_PHASE] cpu=0 Final level=3 pf_threshold=12 fill_threshold=75 issue_period=1 symmetric_mode_epochs=43 symmetric_tier1_epochs=1 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.437938 max_global_max_mshr_util=0.59375 max_global_avg_llc_rq_util=0.0277969 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=0 epochs=58 avg_epoch_mshr_util=0.340148 max_epoch_mshr_util=0.59375 avg_epoch_llc_rq_util=0.0052431 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=0 enabled_epochs=57 filtered_prefetches=0 useful_updates=22802 useless_updates=2 | [HEADGATE] cpu=0 keep_candidates=3 mid_max_candidates=5 streaming_epochs=57 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=0 mini_epochs=229 streaming_mini_epochs=225 selected_boost_windows=61 phase_owner_windows=60 dynrunway_keep3_windows=0 dynrunway_midwide_windows=0 last_selected_boost_core=2 last_phase_core=0 last_window_miss_latency_delta=967687 | [BWC_BUCKETS] cpu=0 issued_head=42788 issued_mid=47625 issued_tail=332385 fill_head=8050 fill_mid=2285 fill_tail=1665 useful_head=0 useful_mid=0 useful_tail=0 useless_head=2 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=0 fill_age0=12000 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=2
gsp_headgate_dynrunway_4xlbm_1M3M.txt,gsp_headgate_dynrunway,lbm+lbm+lbm+lbm,4,0.23,0.2338,0.2307,0.2275,1.0540756830913456,0.263493943417905,13188834,1211501,878076,45442,0.0517517845835668,4.468,16803,336408,0.04757213110576964,691198,920,888,0,0,1106,0,2476925,222119,173514,1177068,25493,535,3785,0,0,0,9,0,0,29813,0,0,0,0,0,0,0,0,0,4,5,[BWC_GSP_HEADGATE_DYNRUNWAY] cpu=3 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=1 symmetric_tier2_epochs=41 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.432375 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.0282188 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=3 epochs=57 avg_epoch_mshr_util=0.332796 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00519577 max_epoch_llc_rq_util=0.21875 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=3 enabled_epochs=54 filtered_prefetches=0 useful_updates=18918 useless_updates=4 | [HEADGATE] cpu=3 keep_candidates=3 mid_max_candidates=4 streaming_epochs=54 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=3 mini_epochs=228 streaming_mini_epochs=216 selected_boost_windows=0 phase_owner_windows=0 dynrunway_keep3_windows=267 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=2 last_window_miss_latency_delta=527682 | [BWC_BUCKETS] cpu=3 issued_head=55054 issued_mid=42978 issued_tail=288686 fill_head=6358 fill_mid=144 fill_tail=887 useful_head=0 useful_mid=0 useful_tail=0 useless_head=4 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=3 fill_age0=7389 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=2 useless_age3=2 | [BWC_GSP_HEADGATE_DYNRUNWAY] cpu=2 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=0 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.430422 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.0282344 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=2 epochs=58 avg_epoch_mshr_util=0.334363 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00459083 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=2 enabled_epochs=56 filtered_prefetches=0 useful_updates=19115 useless_updates=1 | [HEADGATE] cpu=2 keep_candidates=3 mid_max_candidates=4 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=2 mini_epochs=230 streaming_mini_epochs=222 selected_boost_windows=0 phase_owner_windows=0 dynrunway_keep3_windows=277 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=2 last_window_miss_latency_delta=708963 | [BWC_BUCKETS] cpu=2 issued_head=55570 issued_mid=43501 issued_tail=295442 fill_head=6313 fill_mid=124 fill_tail=953 useful_head=0 useful_mid=0 useful_tail=0 useless_head=1 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=2 fill_age0=7390 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=0 useless_age3=1 | [BWC_GSP_HEADGATE_DYNRUNWAY] cpu=1 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=42 symmetric_tier1_epochs=0 symmetric_tier2_epochs=42 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.431141 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.0280208 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=1 epochs=58 avg_epoch_mshr_util=0.335777 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00521711 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=1 enabled_epochs=57 filtered_prefetches=0 useful_updates=19344 useless_updates=1 | [HEADGATE] cpu=1 keep_candidates=3 mid_max_candidates=4 streaming_epochs=57 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=1 mini_epochs=232 streaming_mini_epochs=228 selected_boost_windows=0 phase_owner_windows=0 dynrunway_keep3_windows=285 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=3 last_window_miss_latency_delta=654578 | [BWC_BUCKETS] cpu=1 issued_head=56024 issued_mid=43655 issued_tail=297959 fill_head=6481 fill_mid=129 fill_tail=976 useful_head=0 useful_mid=0 useful_tail=0 useless_head=1 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=1 fill_age0=7586 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=1 useless_age3=0 | [BWC_GSP_HEADGATE_DYNRUNWAY] cpu=0 Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_mode_epochs=43 symmetric_tier1_epochs=0 symmetric_tier2_epochs=43 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.432 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.0277969 max_global_max_llc_rq_util=0.234375 | [BWC_PRESSURE] cpu=0 epochs=58 avg_epoch_mshr_util=0.335419 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00513276 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [SIG_UTIL] cpu=0 enabled_epochs=56 filtered_prefetches=0 useful_updates=19134 useless_updates=3 | [HEADGATE] cpu=0 keep_candidates=3 mid_max_candidates=4 streaming_epochs=56 mid_filtered=0 tail_filtered=0 tail_demoted=0 | [BWC_COORD] cpu=0 mini_epochs=230 streaming_mini_epochs=222 selected_boost_windows=0 phase_owner_windows=0 dynrunway_keep3_windows=277 dynrunway_midwide_windows=0 last_selected_boost_core=3 last_phase_core=3 last_window_miss_latency_delta=585702 | [BWC_BUCKETS] cpu=0 issued_head=55471 issued_mid=43380 issued_tail=294981 fill_head=6341 fill_mid=138 fill_tail=969 useful_head=0 useful_mid=0 useful_tail=0 useless_head=3 useless_mid=0 useless_tail=0 | [BWC_TIMELY] cpu=0 fill_age0=7448 fill_age1=0 fill_age2=0 fill_age3=0 useful_age0=0 useful_age1=0 useful_age2=0 useful_age3=0 useless_age0=0 useless_age1=0 useless_age2=1 useless_age3=2
