file,workload,policy,ipc,instructions,cycles,l1d_miss,l2c_miss,llc_miss,l1d_mpki,l2c_mpki,llc_mpki,pf_requested,pf_issued,pf_useful,pf_useless,pf_accuracy,pf_coverage_proxy,offchip_bw_proxy_avg_dbus_congested_cycle,queue_occupancy,demand_stall_cycles
orig_mcf_1M3M.txt,mcf,orig,0.09987,3000000,30037550,508480,551374,308385,169.49333333333334,183.79133333333334,102.795,301434,301434,51,57,0.00016919126574971635,0.00010029893014474513,8.566,0.0002324,28655455
orig_lbm_1M3M.txt,lbm,orig,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
gsp_headgate_probe_lbm_1M3M.txt,lbm,gsp_headgate_probe,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
gsp_headgate_dynboost_lbm_1M3M.txt,lbm,gsp_headgate_dynboost,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
gsp_headgate_dynrunway_lbm_1M3M.txt,lbm,gsp_headgate_dynrunway,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
gsp_headgate_phaserotate_lbm_1M3M.txt,lbm,gsp_headgate_phaserotate,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
gsp_headgate_dynboost_phase_lbm_1M3M.txt,lbm,gsp_headgate_dynboost_phase,0.8747,3000004,3429890,154561,268735,143371,51.520264639647145,89.57821389571481,47.79026961297385,301274,192825,9558,0,0.04956826137689615,0.06183966201046836,7.46,0.0012439999999999999,2689040
