run_name,policy,policy_family,variant,candidate_id,split,scenario,setting,stable_run,config,binary,log,warmup_instructions,simulation_instructions,workloads,traces,status,missing_baselines,avg_ipc,weighted_speedup,harmonic_speedup,max_sim_cycles,total_pf_issued,total_pf_useful,pf_accuracy,dram_avg_dbus,rq_row_buffer_hit,rq_row_buffer_miss,total_llc_miss,victim_min_retention,victim_avg_retention,polluter_workload,polluter_pf_issued,polluter_retention_vs_orig,cpu0_workload,cpu0_ipc,cpu0_pf_issued,cpu0_pf_useful,cpu0_pf_accuracy,cpu0_retention_vs_orig,cpu1_workload,cpu1_ipc,cpu1_pf_issued,cpu1_pf_useful,cpu1_pf_accuracy,cpu1_retention_vs_orig,cpu2_workload,cpu2_ipc,cpu2_pf_issued,cpu2_pf_useful,cpu2_pf_accuracy,cpu2_retention_vs_orig,cpu3_workload,cpu3_ipc,cpu3_pf_issued,cpu3_pf_useful,cpu3_pf_accuracy,cpu3_retention_vs_orig,controller_final
2core_smoke_mcf_gemsfdtd,orig,spp,orig,orig,smoke,heterogeneous,smoke,false,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_orig.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.42862999999999996,1.2675964102489103,0.4980050383942636,24239289,990541,66265,0.06689778615928063,5.586,6664,437878,489033,0.9271673673446199,0.9271673673446199,mcf,124949,0.3404290429042904,mcf,0.04126,124949,27,0.00021608816397090014,0.3404290429042904,gemsfdtd,0.816,865592,66238,0.07652335049307295,0.9271673673446199,,,,,,,,,,,,,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
2core_smoke_mcf_gemsfdtd,fdp,spp,fdp,fdp,smoke,heterogeneous,smoke,false,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_fdp.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.405855,1.2247341661219866,0.5005919966788756,23523514,252077,61005,0.24200938602093805,5.87,1892,353369,360190,0.8739915918645609,0.8739915918645609,mcf,125460,0.3507425742574257,mcf,0.04251,125460,32,0.0002550613741431532,0.3507425742574257,gemsfdtd,0.7692,126617,60973,0.48155460957059476,0.8739915918645609,,,,,,,,,,,,,[FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90
2core_smoke_mcf_gemsfdtd,bwc_local,spp,bwc_local,bwc_local,smoke,heterogeneous,smoke,false,configs/bwc_2core.json,champsim_bwc_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_bwc_local.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.40631,1.218013235819662,0.49172293209382756,24140478,582946,51255,0.08792409588538218,5.751,4873,398463,431252,0.8762640609021702,0.8762640609021702,mcf,31458,0.34174917491749174,mcf,0.04142,31458,5,0.0001589420815054994,0.34174917491749174,gemsfdtd,0.7712,551488,51250,0.09293039921086226,0.8762640609021702,,,,,,,,,,,,,[BWC_LOCAL] cpu=0 variant_tag=BWC_LOCAL Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_saturation=off symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0 max_global_max_mshr_util=0 max_global_avg_llc_rq_util=0 max_global_max_llc_rq_util=0 pressure_mode=local | [BWC_PRESSURE] cpu=0 epochs=0 avg_epoch_mshr_util=0 max_epoch_mshr_util=0 avg_epoch_llc_rq_util=0 max_epoch_llc_rq_util=0 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0
2core_smoke_mcf_gemsfdtd,gsp_tiered_seed,spp,gsp_tiered_seed,seed_min2,smoke,heterogeneous,smoke,false,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_gsp_tiered_seed_seed_min2.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz,complete,,0.40631,1.218013235819662,0.49172293209382756,24140478,582946,51255,0.08792409588538218,5.751,4873,398463,431252,0.8762640609021702,0.8762640609021702,mcf,31458,0.34174917491749174,mcf,0.04142,31458,5,0.0001589420815054994,0.34174917491749174,gemsfdtd,0.7712,551488,51250,0.09293039921086226,0.8762640609021702,,,,,,,,,,,,,[BWC_GSP_TIERED] cpu=0 candidate_id=seed_min2 variant_tag=BWC_GSP_TIERED Final level=1 pf_threshold=80 fill_threshold=90 issue_period=4 symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0.09375 max_global_max_mshr_util=0.15625 max_global_avg_llc_rq_util=0.046875 max_global_max_llc_rq_util=0.09375 pressure_mode=avg+max | [BWC_PRESSURE] cpu=0 epochs=442 avg_epoch_mshr_util=0.0336286 max_epoch_mshr_util=0.46875 avg_epoch_llc_rq_util=0.00209908 max_epoch_llc_rq_util=0.375 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0.00904977 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0.00226244
4core_smoke_4xlbm,orig,spp,orig,orig,smoke,symmetric,smoke,false,configs/orig_4core.json,champsim_orig_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_orig.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.234375,1.105281773166706,0.27600251711789514,4504799,281481,13701,0.04867468852249353,4.559,5900,114519,229477,0.261730723885876,0.2729309125206319,lbm,76801,0.2864890356048102,lbm,0.243,76801,4033,0.05251233707894429,0.2864890356048102,lbm,0.2388,76495,4002,0.05231714491143212,0.28153737326102335,lbm,0.2337,73009,3533,0.04839129422399978,0.27552464041499647,lbm,0.222,55176,2133,0.03865811222270552,0.261730723885876,[SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90 | [SPP_ORIG] pf_threshold=25 fill_threshold=90
4core_smoke_4xlbm,fdp,spp,fdp,fdp,smoke,symmetric,smoke,false,configs/fdp_4core.json,champsim_fdp_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_fdp.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.231675,1.0925489271398257,0.27210411090784414,4631128,35300,9838,0.2786968838526912,6.108,6924,115715,133107,0.254539023815138,0.2680185490843355,lbm,11534,0.28849327988681917,lbm,0.2447,11534,2730,0.23669152072134558,0.28849327988681917,lbm,0.247,11638,2773,0.23827118061522598,0.2912049045036548,lbm,0.2191,6116,2211,0.36151079136690645,0.2583117189342136,lbm,0.2159,6012,2124,0.3532934131736527,0.254539023815138,[FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90 | [FDP] Final level=1 pf_threshold=80 fill_threshold=90
4core_smoke_4xlbm,bwc_local,spp,bwc_local,bwc_local,smoke,symmetric,smoke,false,configs/bwc_4core.json,champsim_bwc_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_bwc_local.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.23500000000000001,1.108229191228484,0.27658654837950347,4569085,283846,13931,0.04907943039535523,4.589,6013,116360,231345,0.25807592548927144,0.2748565589876602,lbm,76532,0.28365951426550345,lbm,0.2406,76532,4006,0.05234411749333612,0.28365951426550345,lbm,0.2429,77484,4066,0.05247534974962573,0.2863711388823391,lbm,0.2376,74304,3620,0.04871877691645134,0.28012261259137,lbm,0.2189,55526,2239,0.0403234520765047,0.25807592548927144,[BWC_LOCAL] cpu=1 variant_tag=BWC_LOCAL Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_saturation=off symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0 max_global_max_mshr_util=0 max_global_avg_llc_rq_util=0 max_global_max_llc_rq_util=0 pressure_mode=local | [BWC_PRESSURE] cpu=1 epochs=0 avg_epoch_mshr_util=0 max_epoch_mshr_util=0 avg_epoch_llc_rq_util=0 max_epoch_llc_rq_util=0 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [BWC_LOCAL] cpu=0 variant_tag=BWC_LOCAL Final level=3 pf_threshold=25 fill_threshold=90 issue_period=1 symmetric_saturation=off symmetric_mode_epochs=0 symmetric_tier1_epochs=0 symmetric_tier2_epochs=0 symmetric_tier3_epochs=0 max_global_avg_mshr_util=0 max_global_max_mshr_util=0 max_global_avg_llc_rq_util=0 max_global_max_llc_rq_util=0 pressure_mode=local | [BWC_PRESSURE] cpu=0 epochs=0 avg_epoch_mshr_util=0 max_epoch_mshr_util=0 avg_epoch_llc_rq_util=0 max_epoch_llc_rq_util=0 frac_epoch_avg_mshr_ge_thresh=0 frac_epoch_max_mshr_ge_thresh=0 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0
4core_smoke_4xlbm,gsp_tiered_seed,spp,gsp_tiered_seed,seed_min2,smoke,symmetric,smoke,false,configs/gsp_tiered_4core.json,champsim_gsp_tiered_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_gsp_tiered_seed_seed_min2.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz,complete,,0.23335,1.1004480075453902,0.2731933672856553,4761477,93342,5062,0.054230678579846155,5.421,6713,120927,162764,0.24758311718934214,0.26735046765699916,lbm,28811,0.2983966045743928,lbm,0.2531,28811,1384,0.0480372080108292,0.2983966045743928,lbm,0.252,30263,1576,0.05207679344413971,0.29709974062721056,lbm,0.2183,20258,1171,0.05780432421759305,0.25736854515444474,lbm,0.21,14010,931,0.06645253390435403,0.24758311718934214,[BWC_GSP_TIERED] cpu=1 candidate_id=seed_min2 variant_tag=BWC_GSP_TIERED Final level=3 pf_threshold=60 fill_threshold=90 issue_period=4 symmetric_mode_epochs=15 symmetric_tier1_epochs=15 symmetric_tier2_epochs=14 symmetric_tier3_epochs=10 max_global_avg_mshr_util=0.460938 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.0585938 max_global_max_llc_rq_util=0.109375 pressure_mode=avg+max | [BWC_PRESSURE] cpu=1 epochs=32 avg_epoch_mshr_util=0.234543 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00795605 max_epoch_llc_rq_util=0.21875 frac_epoch_avg_mshr_ge_thresh=0.5625 frac_epoch_max_mshr_ge_thresh=0.90625 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0 | [BWC_GSP_TIERED] cpu=0 candidate_id=seed_min2 variant_tag=BWC_GSP_TIERED Final level=3 pf_threshold=60 fill_threshold=90 issue_period=4 symmetric_mode_epochs=16 symmetric_tier1_epochs=16 symmetric_tier2_epochs=15 symmetric_tier3_epochs=10 max_global_avg_mshr_util=0.460938 max_global_max_mshr_util=0.5 max_global_avg_llc_rq_util=0.046875 max_global_max_llc_rq_util=0.0625 pressure_mode=avg+max | [BWC_PRESSURE] cpu=0 epochs=32 avg_epoch_mshr_util=0.234687 max_epoch_mshr_util=0.5 avg_epoch_llc_rq_util=0.00778257 max_epoch_llc_rq_util=0.234375 frac_epoch_avg_mshr_ge_thresh=0.5625 frac_epoch_max_mshr_ge_thresh=0.96875 frac_epoch_avg_llc_rq_ge_thresh=0 frac_epoch_max_llc_rq_ge_thresh=0
