run_name,policy,policy_family,variant,candidate_id,split,scenario,setting,stable_run,config,binary,log,warmup_instructions,simulation_instructions,workloads,traces
2core_smoke_mcf_gemsfdtd,orig,spp,orig,orig,smoke,heterogeneous,smoke,false,configs/orig_2core.json,champsim_orig_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_orig.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_smoke_mcf_gemsfdtd,fdp,spp,fdp,fdp,smoke,heterogeneous,smoke,false,configs/fdp_2core.json,champsim_fdp_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_fdp.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_smoke_mcf_gemsfdtd,bwc_local,spp,bwc_local,bwc_local,smoke,heterogeneous,smoke,false,configs/bwc_2core.json,champsim_bwc_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_bwc_local.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
2core_smoke_mcf_gemsfdtd,gsp_tiered_seed,spp,gsp_tiered_seed,seed_min2,smoke,heterogeneous,smoke,false,configs/gsp_tiered_2core.json,champsim_gsp_tiered_2core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/2core_smoke_mcf_gemsfdtd_gsp_tiered_seed_seed_min2.txt,1000000,1000000,mcf;gemsfdtd,traces/429.mcf-51B.champsimtrace.xz;traces/459.GemsFDTD-765B.champsimtrace.xz
4core_smoke_4xlbm,orig,spp,orig,orig,smoke,symmetric,smoke,false,configs/orig_4core.json,champsim_orig_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_orig.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_smoke_4xlbm,fdp,spp,fdp,fdp,smoke,symmetric,smoke,false,configs/fdp_4core.json,champsim_fdp_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_fdp.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_smoke_4xlbm,bwc_local,spp,bwc_local,bwc_local,smoke,symmetric,smoke,false,configs/bwc_4core.json,champsim_bwc_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_bwc_local.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
4core_smoke_4xlbm,gsp_tiered_seed,spp,gsp_tiered_seed,seed_min2,smoke,symmetric,smoke,false,configs/gsp_tiered_4core.json,champsim_gsp_tiered_4core,results/openevolve_official/profile_runs/smoke/seed_min2/logs/smoke/4core_smoke_4xlbm_gsp_tiered_seed_seed_min2.txt,1000000,1000000,lbm;lbm;lbm;lbm,traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz;traces/470.lbm-1274B.champsimtrace.xz
